dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,Incoming_Visitor_home_census_blocks,POI_risk_final
9495 CANDIDA LLC,92126,60730083602,{},{},LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),CANDIDA ST,{},0
94TH AERO SQUADRON,92123,60730085111,"{""060730190021"":4,""060730097041"":4,""060730220002"":4,""060730166051"":4,""060590755151"":4,""060730221001"":4}","{""060730085111"":4,""060730168091"":4,""060590755151"":4,""060730220002"":4,""060730031153"":4}",FULL-SERVICE RESTAURANTS,BALBOA AVE,"{'06073019002': 4, '06073009704': 4, '06073022000': 4, '06073016605': 4, '06059075515': 4, '06073022100': 4}",0.732388122
99 CENTS ONLY STORES LLC,92126,60730083573,"{""060730083471"":7,""060730083472"":6,""060730083373"":6,""060730083552"":5,""060730083503"":4,""060730083012"":4,""060730083331"":4,""060730083661"":4,""060730083541"":4,""060730083542"":4,""060730083562"":4,""060730083482"":4,""060730083581"":4,""060730083584"":4,""060730083603"":4,""060730083504"":4,""060730083462"":4,""060730170481"":4,""060730083571"":4,""060730083592"":4,""060730083583"":4,""061150410002"":4,""060730170451"":4,""350130009005"":4,""060730031153"":4,""060730185132"":4,""060730083491"":4}","{""060730083472"":7,""060730083461"":6,""060730083072"":5,""060730077013"":5,""060730083483"":5,""060730083531"":4,""060730083591"":4,""060730083504"":4,""060730083462"":4,""350130009005"":4,""060730083492"":4,""060730083331"":4,""060730083552"":4,""060730083661"":4,""060730083583"":4,""060730083503"":4,""060730023011"":4,""060730083592"":4,""060730215001"":4,""060730083523"":4,""060730083502"":4,""060730028012"":4,""060730083562"":4}",ALL OTHER GENERAL MERCHANDISE STORES,CAMINO RUIZ nan,"{'06073008347': 7, '06073008337': 6, '06073008355': 5, '06073008350': 4, '06073008301': 4, '06073008333': 4, '06073008366': 4, '06073008354': 4, '06073008356': 4, '06073008348': 4, '06073008358': 4, '06073008360': 4, '06073008346': 4, '06073017048': 4, '06073008357': 4, '06073008359': 4, '06115041000': 4, '06073017045': 4, '35013000900': 4, '06073003115': 4, '06073018513': 4, '06073008349': 4}",0.961135821
A & A AUTO COLLISON AND CLASSICS,92115,60730027081,"{""060730027081"":4}",{},AUTOMOTIVE BODY/PAINT/INTERIOR & GLASS REPAIR,53RD ST,{'06073002708': 4},0.443989184
A & J SUSHI,92103,60730006003,"{""060730215001"":4,""060730009004"":4,""060730004002"":4,""060730008004"":4,""060730024013"":4,""060730007002"":4,""060730104023"":4,""060730006001"":4,""060730005002"":4,""060730004001"":4}","{""060730041002"":5,""060730014003"":4,""060730056002"":4,""060730024013"":4,""060730009004"":4,""060730004001"":4,""060730006001"":4,""060730157041"":4,""060730215001"":4,""060730006003"":4,""060730007002"":4,""060730013002"":4,""060730005001"":4}",FOOD SERVICE CONTRACTORS,UNIVERSITY AVE,"{'06073021500': 4, '06073000900': 4, '06073000400': 4, '06073000800': 4, '06073002401': 4, '06073000700': 4, '06073010402': 4, '06073000600': 4, '06073000500': 4}",0.896100423
A & L TRANSPORT AND STORAGE,92173,60730100123,"{""060730124023"":4,""060730100151"":4,""060371224101"":4,""060730133131"":4,""060730101111"":4,""060376037023"":4}","{""060730100141"":5,""060730045011"":4,""060730100151"":4,""060730100123"":4,""060250123023"":4}",MOTOR VEHICLE TOWING,W SAN YSIDRO BLVD,"{'06073012402': 4, '06073010015': 4, '06037122410': 4, '06073013313': 4, '06073010111': 4, '06037603702': 4}",0.945619375
A & M,92110,60730065001,"{""060730056001"":8,""060730206023"":7,""060730083441"":6,""530530713042"":6,""060730215001"":5,""060730083541"":4,""060070031003"":4,""060730054002"":4,""060730101071"":4,""060730100053"":4,""060730176011"":4,""040131125101"":4,""060730170422"":4,""060730091072"":4,""060730085041"":4,""060730208092"":4,""040190043221"":4,""060730031073"":4,""060730032093"":4,""060730083542"":4,""060650435072"":4,""060730101104"":4,""060650419061"":4,""060730068021"":4,""060730203061"":4,""060730133102"":4,""060730133101"":4,""060730068022"":4,""060730068011"":4,""060730068023"":4,""060730164025"":4,""060650427381"":4,""060730091011"":4,""060730141021"":4,""060730100012"":4}","{""060375438023"":10,""060730085111"":6,""060070031003"":4,""060730082001"":4,""060730089014"":4,""060730154044"":4,""060730100121"":4,""060730083461"":4,""060730173042"":4,""060730157013"":4,""060730165031"":4,""060730053003"":4,""060730133101"":4,""490490101131"":4,""060730154043"":4,""060730214001"":4,""060730204011"":4,""060730032084"":4,""060730100142"":4,""060730076005"":4,""060730100151"":4,""060650427381"":4,""060710100171"":4,""060730095111"":4,""060730170301"":4,""530330265001"":4,""060730043001"":4,""060730133102"":4,""060730166093"":4,""060650427331"":4,""060730197023"":4,""060730068011"":4,""060730068023"":4,""060730133141"":4,""060290054015"":4,""320030036211"":4,""060730117002"":4,""060730206023"":4,""060730170422"":4,""060730159022"":4,""060730074005"":4,""060730065001"":4,""060730032093"":4,""060730060001"":4,""060650446052"":4,""060730083542"":4,""060730025013"":4,""060710005043"":4,""060730101071"":4}",SWAP MEET VENDOR,SPORTS ARENA BLVD,"{'06073005600': 8, '06073020602': 7, '06073008344': 6, '53053071304': 6, '06073021500': 5, '06073008354': 4, '06007003100': 4, '06073005400': 4, '06073010107': 4, '06073010005': 4, '06073017601': 4, '04013112510': 4, '06073017042': 4, '06073009107': 4, '06073008504': 4, '06073020809': 4, '04019004322': 4, '06073003107': 4, '06073003209': 4, '06065043507': 4, '06073010110': 4, '06065041906': 4, '06073006802': 4, '06073020306': 4, '06073013310': 4, '06073006801': 4, '06073016402': 4, '06065042738': 4, '06073009101': 4, '06073014102': 4, '06073010001': 4}",0.999940694
A & P PARTY HALL AND STUDIO,92154,60730100103,"{""060730100051"":6,""060730100142"":5,""060730100041"":4,""060730100052"":4,""060730137022"":4}","{""060730101033"":4,""060730100103"":4,""060730120021"":4,""060730100041"":4}",OTHER PERSONAL SERVICES,DEL SOL BLVD,"{'06073010005': 6, '06073010014': 5, '06073010004': 4, '06073013702': 4}",0.971730257
A & S INDUSTRIES INC,92111,60730085111,"{""060730083661"":4,""060730171102"":4,""060730215001"":4,""060730083411"":4,""060590525202"":4,""060374042012"":4,""060730133131"":4,""060730170363"":4,""060730208091"":4,""060730083291"":4}","{""060373116002"":4}",FOOD SERVICES & DRINKING PLACES,CLAIREMONT MESA BLVD,"{'06073008366': 4, '06073017110': 4, '06073021500': 4, '06073008341': 4, '06059052520': 4, '06037404201': 4, '06073013313': 4, '06073017036': 4, '06073020809': 4, '06073008329': 4}",0.70183679
A 1 CONSTRUCTION MANAGEMENT,92108,60730087022,"{""530350912011"":6,""060730092021"":4,""060730088002"":4,""320030032371"":4,""060590320561"":4}","{""060730092021"":4}","BUILDING, DEVELOPING & GENERAL CONTRACTING",MISSION CENTER RD,"{'53035091201': 6, '06073009202': 4, '06073008800': 4, '32003003237': 4, '06059032056': 4}",0.358464724
A 1 SELF STORAGE,92101,60730058001,{},{},LESSORS OF MINIWAREHOUSE & SELF STORAGE UNITS,PACIFIC HWY,{},0
A AAAFFORDABLE DRIVING SCHOOL,92103,60730009005,"{""060730157032"":4}","{""060730208013"":4}",AUTOMOBILE DRIVING SCHOOLS,PARK BLVD,{'06073015703': 4},0.338337677
A AND L JANITORIAL SERVICE,91978,60730135061,{},{},JANITORIAL SERVICES,JAMACHA BLVD,{},0
A B C SPA,92120,60730096034,{},"{""060730096034"":4}",MASSAGE THERAPY,VANDEVER AVE,{},0
A BLINDS AND SHUTTERS,92126,60730083582,{},"{""060730083514"":7,""060730186143"":6,""060730085123"":6,""061110036051"":5,""060650426202"":5,""060730170423"":4,""060730083581"":4,""060730145002"":4,""060730093061"":4,""060730185151"":4,""060730083483"":4,""060730083481"":4,""060730083582"":4,""060730056002"":4,""060730085111"":4,""060371862011"":4,""060730083571"":4,""060730133112"":4,""060730170341"":4,""060730004001"":4,""060730185073"":4}",WINDOW TREATMENT STORES,MIRA MESA BLVD,{},0
A BOWL,92111,60730085111,"{""060730170222"":4}",{},FULL-SERVICE RESTAURANTS,CONVOY ST,{'06073017022': 4},0.112633227
A BREATH OF LIFE,91945,60730141022,"{""060730169021"":4,""060730027121"":4}","{""060730027092"":4,""060730169021"":4}",EDUCATIONAL SUPPORT SERVICES,LANSING DR,"{'06073016902': 4, '06073002712': 4}",0.47380847
A BREEZE TRANSPORTATION,92108,60730087022,"{""530350912011"":6,""060730092021"":4,""060730088002"":4,""320030032371"":4,""060590320561"":4}","{""060730092021"":4}",TAXI & LIMOUSINE SERVICE,MISSION CENTER RD,"{'53035091201': 6, '06073009202': 4, '06073008800': 4, '32003003237': 4, '06059032056': 4}",0.358464724
A F P S INC,92117,60730085074,{},{},"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",GENESEE AVE,{},0
A K MARTIAL ARTS ACADEMY,92127,60730170322,"{""060730170321"":9,""060730170322"":7,""060730131043"":4,""060650432422"":4,""484391136293"":4,""060730095022"":4,""060730170313"":4,""060730168091"":4,""060730083603"":4,""060730170291"":4,""060730170301"":4,""060650427241"":4,""060730166091"":4,""060730170303"":4,""060730185093"":4}","{""060730170321"":8,""060730170301"":6,""060730083603"":5,""060730170322"":5,""484391136293"":4,""060730199021"":4,""060730208092"":4,""060730207093"":4,""060730033011"":4,""060730170291"":4,""060650427241"":4,""060730208093"":4,""060730166091"":4,""060730200183"":4,""060730083353"":4}",MARTIAL ARTS INSTRUCTOR,BERNARDO CENTER DR,"{'06073017032': 9, '06073013104': 4, '06065043242': 4, '48439113629': 4, '06073009502': 4, '06073017031': 4, '06073016809': 4, '06073008360': 4, '06073017029': 4, '06073017030': 4, '06065042724': 4, '06073016609': 4, '06073018509': 4}",0.873678859
A LIFE OF BALANCE PERSONAL WELLNESS THROUGH PSYCH,92116,60730020011,{},{},OTHER INDIVIDUAL & FAMILY SERVICES,MARLBOROUGH DR,{},0
A MATH TUTOR,92126,60730083602,{},{},EXAM PREPARATION & TUTORING,BLACK MOUNTAIN RD,{},0
A NEW YOU,92108,60730089014,"{""060730091041"":4,""060730083532"":4}","{""060730083532"":4,""060730087022"":4,""060730214001"":4}",MASSAGE THERAPY,FRIARS RD,"{'06073009104': 4, '06073008353': 4}",0.310067502
A P AUTO SPECIALISTS,92101,60730059003,{},{},OTHER AUTOMOTIVE R&M,STATE ST,{},0
A PLACE OF GROWTH,92108,60730093042,{},"{""060730083331"":4}",OFFICES OF OTHER MENTAL HEALTH PRACTITIONERS,CAMINO DE LA REINA nan,{},0
A PLUS LIGHTNING,92111,60730085111,"{""060730095061"":6,""060730166061"":4,""060730139082"":4}","{""060730133021"":4,""060730134091"":4,""060730173042"":4,""060730041004"":4,""060730085111"":4,""060730166061"":4}",ELECTRICAL CONTRACTORS,BALBOA AVE,"{'06073009506': 6, '06073016606': 4, '06073013908': 4}",0.550418794
A PRO PLUMBING,92154,60730100042,"{""060730101031"":4}","{""060730101031"":4,""060730100091"":4,""060730100012"":4}","PLUMBING, HEATING & AC CONTRACTOR",CARNELL AVE,{'06073010103': 4},0.496044191
A VISION OF HOPE,92115,60730029044,{},{},"GIFT, NOVELTY & SOUVENIR STORES",EL CAJON BLVD,{},0
A&D IRON WORK,92113,60730036011,"{""060730185141"":4}","{""060730048001"":4}",OTHER PERSONAL & HOUSEHOLD GOODS R&M,NATIONAL AVE,{'06073018514': 4},0.195288414
A&M HOLDINGS,92110,60730065001,"{""060730056001"":8,""060730206023"":7,""060730083441"":6,""530530713042"":6,""060730215001"":5,""060730083541"":4,""060070031003"":4,""060730054002"":4,""060730101071"":4,""060730100053"":4,""060730176011"":4,""040131125101"":4,""060730170422"":4,""060730091072"":4,""060730085041"":4,""060730208092"":4,""040190043221"":4,""060730031073"":4,""060730032093"":4,""060730083542"":4,""060650435072"":4,""060730101104"":4,""060650419061"":4,""060730068021"":4,""060730203061"":4,""060730133102"":4,""060730133101"":4,""060730068022"":4,""060730068011"":4,""060730068023"":4,""060730164025"":4,""060650427381"":4,""060730091011"":4,""060730141021"":4,""060730100012"":4}","{""060375438023"":10,""060730085111"":6,""060070031003"":4,""060730082001"":4,""060730089014"":4,""060730154044"":4,""060730100121"":4,""060730083461"":4,""060730173042"":4,""060730157013"":4,""060730165031"":4,""060730053003"":4,""060730133101"":4,""490490101131"":4,""060730154043"":4,""060730214001"":4,""060730204011"":4,""060730032084"":4,""060730100142"":4,""060730076005"":4,""060730100151"":4,""060650427381"":4,""060710100171"":4,""060730095111"":4,""060730170301"":4,""530330265001"":4,""060730043001"":4,""060730133102"":4,""060730166093"":4,""060650427331"":4,""060730197023"":4,""060730068011"":4,""060730068023"":4,""060730133141"":4,""060290054015"":4,""320030036211"":4,""060730117002"":4,""060730206023"":4,""060730170422"":4,""060730159022"":4,""060730074005"":4,""060730065001"":4,""060730032093"":4,""060730060001"":4,""060650446052"":4,""060730083542"":4,""060730025013"":4,""060710005043"":4,""060730101071"":4}",NONSTORE RETAILERS,SPORTS ARENA BLVD,"{'06073005600': 8, '06073020602': 7, '06073008344': 6, '53053071304': 6, '06073021500': 5, '06073008354': 4, '06007003100': 4, '06073005400': 4, '06073010107': 4, '06073010005': 4, '06073017601': 4, '04013112510': 4, '06073017042': 4, '06073009107': 4, '06073008504': 4, '06073020809': 4, '04019004322': 4, '06073003107': 4, '06073003209': 4, '06065043507': 4, '06073010110': 4, '06065041906': 4, '06073006802': 4, '06073020306': 4, '06073013310': 4, '06073006801': 4, '06073016402': 4, '06065042738': 4, '06073009101': 4, '06073014102': 4, '06073010001': 4}",0.999940694
A&R AUTO REPAIR,92115,60730029032,{},"{""060730167012"":4}",AUTOMOTIVE R&M,ROLANDO BLVD,{},0
A&T GLASS,92154,60730100151,{},{},AUTOMOTIVE BODY/PAINT/INTERIOR & GLASS REPAIR,AVENIDA DE LA FUENTE nan,{},0
A+ REPAIR,92154,60730101101,"{""060730100092"":9,""060730135051"":8,""060730100142"":7,""060133462013"":4,""060730213032"":4,""060730032093"":4,""060730100034"":4,""060730129001"":4,""060730139051"":4,""060730101071"":4,""060730039022"":4,""060730128002"":4,""060730133102"":4,""060730167011"":4,""060730101073"":4,""060730101112"":4,""060730086001"":4,""060730098054"":4,""060730117001"":4,""060730009002"":4,""060730100131"":4,""060730131023"":4}","{""060730100142"":8,""060730129001"":6,""060730100093"":5,""060730031081"":5,""060730206011"":5,""060730104023"":4,""060730156012"":4,""060730103001"":4,""060730086001"":4,""060730133072"":4,""060730127002"":4,""060730033041"":4,""060730167011"":4,""060133462013"":4,""060730132051"":4,""060730157012"":4,""060730083103"":4,""060730092011"":4,""060730133141"":4,""060730016001"":4,""060730100121"":4,""060730083291"":4,""060730132063"":4,""060730009002"":4,""060730100092"":4}",SWAP MEET VENDOR,CORONADO AVE,"{'06073010009': 9, '06073013505': 8, '06073010014': 7, '06013346201': 4, '06073021303': 4, '06073003209': 4, '06073010003': 4, '06073012900': 4, '06073013905': 4, '06073010107': 4, '06073003902': 4, '06073012800': 4, '06073013310': 4, '06073016701': 4, '06073010111': 4, '06073008600': 4, '06073009805': 4, '06073011700': 4, '06073000900': 4, '06073010013': 4, '06073013102': 4}",0.99999421
A-1 AMERICAN FIRE EQUIPMENT,92110,60730091041,{},{},OTHER PERSONAL & HOUSEHOLD GOODS R&M,NAPIER ST,{},0
A-1 HEARING AID CENTERS,92037,60730082003,{},{},MISCELLANEOUS STORE RETAILERS,HERSCHEL AVE,{},0
A-1 SELF STORAGE,92154,60730101071,"{""060730100122"":4,""060730144002"":4,""060730101071"":4,""060730101062"":4,""060730216001"":4,""060730108001"":4}","{""060730101071"":5,""060730030013"":4}",RENTAL & LEASING SERVICES,HOLLISTER ST,"{'06073010012': 4, '06073014400': 4, '06073010107': 4, '06073010106': 4, '06073021600': 4, '06073010800': 4}",0.958395618
AAA JAPANESE CAR SPECIALISTS,92126,60730083602,"{""051190035003"":4,""060730083661"":4,""060730170322"":4,""060730170412"":4}","{""060730083661"":4,""060730083573"":4,""060730170322"":4,""060730088004"":4}",AUTOMOTIVE R&M,BLACK MOUNTAIN RD,"{'05119003500': 4, '06073008366': 4, '06073017032': 4, '06073017041': 4}",0.262985612
AAA MEDICAL SUPPLY INC,92111,60730085111,"{""060730027074"":4}",{},MEDICAL/DENTAL/HOSPITAL EQUIP & SUPP WHSLE,VICKERS ST,{'06073002707': 4},0.417177319
AAA PARKING,92093,60730083051,{},"{""060730083332"":4}",PARKING LOTS & GARAGES,GILMAN DR,{},0
AAHARN AT UNIVERSITY CITY,92122,60730083072,"{""060730166162"":8,""060730085031"":5,""060730176042"":4,""060730083391"":4,""060730083272"":4}","{""060730148033"":4}",FULL-SERVICE RESTAURANTS,GOVERNOR DR,"{'06073016616': 8, '06073008503': 5, '06073017604': 4, '06073008339': 4, '06073008327': 4}",0.61991264
AAMCO TRANSMISSIONS OF 1430 MORENA BLVD,92110,60730091061,{},{},AUTOMOTIVE TRANSMISSION REPAIR,MORENA BLVD,{},0
AB&N TRANSPORT INC,92154,60730100151,{},"{""060730101042"":4}","SPECIALIZED FRGT (EXC USED) TRUCKING, LDIST",MARCONI DR,{},0
ABA,92123,60730085111,"{""060830019015"":4}",{},BUSINESS TAX EXEMPT - NON PROFIT,RUFFIN RD,{'06083001901': 4},0
ABA EDUCATION FOUNDATION,92123,60730085111,{},{},EDUCATIONAL SUPPORT SERVICES,MURPHY CANYON RD,{},0
ABBOTT HEARING CENTERS,92119,60730097063,"{""060730146012"":4}","{""060730146012"":4,""060730097063"":4}",OFFICES OF ALL OTH MISC HEALTH PRACTITIONERS,JACKSON DR,{'06073014601': 4},0.14051611
ABBOTT STREET MARKET,92107,60730075022,"{""060790107073"":4,""060770043022"":4,""080310037011"":4,""060730075014"":4,""060730071002"":4}","{""060790107031"":4,""060730075022"":4,""060770041051"":4,""060730075021"":4,""060730085111"":4}",GROCERY STORES,ABBOTT ST,"{'06079010707': 4, '06077004302': 4, '08031003701': 4, '06073007501': 4, '06073007100': 4}",0.205296461
ABC COMPLIANT,92126,60730083602,"{""060730083331"":4,""060730170412"":4,""060730170441"":4,""060730028031"":4}","{""060730083551"":4,""060730200132"":4}",CONSULTING SERVICES,BLACK MOUNTAIN RD,"{'06073008333': 4, '06073017041': 4, '06073017044': 4, '06073002803': 4}",0.615432908
ABC MONEY EXCHANGE,92154,60730100151,{},"{""060730100151"":4}",OTHER CREDIT INTERMEDIATION ACTIVITIES,OTAY CENTER DR,{},0
ABC SMOG,92117,60730091013,{},{},OTHER AUTOMOTIVE MECHANICAL & ELECTRICAL R&M,CLAIREMONT DR,{},0
ABC TRANSLATING & INTERPRETING SERVICES,92101,60730062001,{},"{""060730198032"":4,""060373012031"":4,""484530013031"":4}",TRANSLATION & INTERPRETATION SERVICES,HARBOR ISLAND DR,{},0
ABC&E BIO-SERVICES INC,92154,60730101102,"{""060730032081"":4,""060730101104"":4}","{""060730149013"":4,""060730032081"":4,""060730104023"":4}",REMEDIATION SERVICES,HOLLISTER ST,"{'06073003208': 4, '06073010110': 4}",0.684631764
ABDELALI KRANI,92109,60730079101,{},{},SNACK & NONALCOHOLIC BEVERAGE BARS,REED AVE,{},0
ABELINO HERNANDEZ,92154,60730101101,"{""060730100092"":9,""060730135051"":8,""060730100142"":7,""060133462013"":4,""060730213032"":4,""060730032093"":4,""060730100034"":4,""060730129001"":4,""060730139051"":4,""060730101071"":4,""060730039022"":4,""060730128002"":4,""060730133102"":4,""060730167011"":4,""060730101073"":4,""060730101112"":4,""060730086001"":4,""060730098054"":4,""060730117001"":4,""060730009002"":4,""060730100131"":4,""060730131023"":4}","{""060730100142"":8,""060730129001"":6,""060730100093"":5,""060730031081"":5,""060730206011"":5,""060730104023"":4,""060730156012"":4,""060730103001"":4,""060730086001"":4,""060730133072"":4,""060730127002"":4,""060730033041"":4,""060730167011"":4,""060133462013"":4,""060730132051"":4,""060730157012"":4,""060730083103"":4,""060730092011"":4,""060730133141"":4,""060730016001"":4,""060730100121"":4,""060730083291"":4,""060730132063"":4,""060730009002"":4,""060730100092"":4}",SWAP MEET VENDOR,CORONADO AVE,"{'06073010009': 9, '06073013505': 8, '06073010014': 7, '06013346201': 4, '06073021303': 4, '06073003209': 4, '06073010003': 4, '06073012900': 4, '06073013905': 4, '06073010107': 4, '06073003902': 4, '06073012800': 4, '06073013310': 4, '06073016701': 4, '06073010111': 4, '06073008600': 4, '06073009805': 4, '06073011700': 4, '06073000900': 4, '06073010013': 4, '06073013102': 4}",0.99999421
